,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21260,Theft,-Ju,N,D,3106643.0,10054305.0,2015.0
21261,Theft,-Ju,N,I,3136156.0,10088241.0,2015.0
21262,Theft,-Ju,C,G,3114750.0,10070368.0,2015.0
21263,Theft,-Ju,N,B,3113862.0,10080318.0,2015.0
21265,Theft,-Ju,N,I,3126018.0,10089888.0,2015.0
21266,Theft,-Ju,N,C,3123686.0,10064587.0,2015.0
21267,Theft,-Ju,N,E,3129633.0,10101642.0,2015.0
21268,Theft,-Ju,N,H,3130136.0,10055990.0,2015.0
21269,Theft,-Ju,N,G,3111273.0,10072673.0,2015.0
21270,Theft,-Ju,N,A,3098058.0,10140935.0,2015.0
21271,Theft,-Ju,N,D,3112293.0,10064375.0,2015.0
21272,Theft,-Ju,N,B,3113611.0,10074739.0,2015.0
21273,Robbery,-Ju,C,I,3122508.0,10098703.0,2015.0
21275,Burglary,-Ju,N,I,3134623.0,10092808.0,2015.0
21276,Burglary,-Ju,N,B,3114585.0,10080210.0,2015.0
21277,Burglary,-Ju,C,I,3134100.0,10082361.0,2015.0
21278,Burglary,-Ju,N,I,3134623.0,10092808.0,2015.0
21279,Burglary,-Ju,N,A,3104473.0,10127172.0,2015.0
21280,Burglary,-Ju,N,E,3125710.0,10102520.0,2015.0
21281,Burglary,-Ju,N,B,3113060.0,10079452.0,2015.0
21282,Burglary,-Ju,C,F,3110509.0,10044740.0,2015.0
21283,Burglary,-Ju,N,E,3127055.0,10103954.0,2015.0
21284,Burglary,-Ju,N,D,3100384.0,10060018.0,2015.0
21285,Burglary,-Ju,N,A,3109256.0,10126442.0,2015.0
